time,Fx,Fy,Fz
14.00912,-2.80762,9.64355,3.54004
14.00918,0.915527,9.33838,17.334
14.00924,19.7754,13.5498,9.15527
14.0093,60.3638,29.3579,-7.32422
14.00936,119.446,41.8701,-42.4805
14.00942,190.491,47.7295,-56.3965
14.00948,248.535,57.0068,-64.0869
14.00954,286.865,66.3452,-68.2373
14.0096,297.974,71.4722,-81.0547
14.00966,293.701,80.5664,-100.586
14.00972,282.043,92.3462,-117.92
14.00978,281.128,106.995,-117.31
14.00984,301.331,118.286,-115.967
14.0099,338.074,132.446,-129.883
14.00996,368.103,146.301,-157.715
14.01002,400.024,154.846,-172.363
14.01008,427.124,159.18,-164.551
14.01014,441.895,170.959,-177.368
14.0102,440.491,179.871,-187.622
14.01026,438.721,192.444,-186.157
14.01032,431.213,202.393,-179.443
14.01038,428.711,209.717,-152.1
14.01044,401.978,203.308,-150.757
14.0105,365.417,203.979,-160.522
14.01056,333.984,197.571,-146.606
14.01062,324.097,193.604,-142.09
14.01068,301.086,196.167,-120.483
14.01074,284.241,185.547,-113.159
14.0108,252.319,171.082,-98.2666
14.01086,221.558,158.997,-103.271
14.01092,184.387,139.526,-89.3555
14.01098,160.461,125.916,-69.7021
14.01104,133.85,113.831,-46.1426
14.0111,109.131,102.661,-48.9502
14.01116,90.6982,92.4072,-46.6309
14.01122,85.3271,81.1768,-38.208
14.01128,84.7778,71.8384,-25.8789
14.01134,83.252,61.7065,-9.27734
14.0114,67.3218,53.894,-19.6533
14.01146,53.4668,42.0532,-13.5498
14.01152,38.6963,31.4331,-16.4795
14.01158,19.104,17.8833,0.366211
14.01164,-1.40381,10.376,6.46973
14.0117,-6.04248,8.48389,8.42285
14.01176,-2.2583,7.56836,1.09863
14.01182,15.9302,8.11768,18.5547
