Index,Value_1,Value_2,Value_3
0.0,0.0,0.0,0.0
1.72861e-07,9.8459267,25.337474,13.730689
3.45722e-07,18.16096,56.574504,26.10637
5.18583e-07,21.350243,64.909117,32.313051
6.91444e-07,22.890972,69.076932,34.706578
8.64305e-07,28.634175,84.054479,47.07953
1.037166e-06,32.814701,89.799389,49.930855
1.210027e-06,34.761724,96.622498,55.864722
1.382888e-06,37.124046,107.66839,65.512763
1.555749e-06,40.92891,114.83059,71.648641
1.72861e-06,43.311672,118.68219,75.24989999999998
1.901471e-06,45.056477,113.21942,75.269695
2.074332e-06,44.061897,108.36796,77.908277
2.247193e-06,57.593449,129.42543,97.535947
2.420054e-06,64.797314,144.38479,115.76172
2.592915e-06,71.954671,158.98531,124.84681
2.765776e-06,81.412605,169.82655,135.5069
2.938637e-06,79.979314,164.19188,138.91849
3.111498e-06,81.947595,168.56024,144.51542
3.284359e-06,80.64914799999998,163.88416,133.20178
3.45722e-06,82.875259,162.06301,136.65456
3.630081e-06,85.33773499999998,166.94568,141.14579
3.802942e-06,86.976678,170.68504,144.5554
3.975803e-06,106.77478,199.21465,197.68146
4.148664e-06,110.75794,203.3586,204.25729
4.321525e-06,109.86323,205.64181,204.01402
4.494386e-06,111.43268,196.23374,205.26481
4.667247e-06,118.85189,212.59026,227.98082
4.840108e-06,117.53206,205.31058,243.11143
5.012969e-06,124.17414,208.1894,249.01689
5.18583e-06,128.36581,210.97112,254.32771
5.358691e-06,133.88276,220.25465,265.12845
5.531552e-06,138.05061,225.73378,274.59695
5.704413e-06,140.81405,230.92369,280.83062
5.877274e-06,136.82438,229.33835,263.87582
6.050135e-06,142.63004,236.43214,274.06568
6.222996e-06,147.82173,239.22839,283.47429
6.395857e-06,138.08481,235.41279,271.68742
6.568718e-06,141.07573,224.95276,229.56406
6.741579e-06,119.44008,275.11649,256.05508
6.91444e-06,86.765186,266.27422,225.16238
7.087301e-06,106.05185,253.31563,245.47966
7.260162e-06,88.504559,246.61509,237.61532
7.4068671432e-06,90.061334,247.55279,239.31107
7.5797281432e-06,149.27544,251.94212,282.85723
7.7525891432e-06,149.38668,251.63524,292.4679
7.9254501432e-06,143.74607,256.5624,296.38919
8.0983111432e-06,149.42663,263.3889,309.25395
8.2711721432e-06,148.31111,269.4184,311.11119
8.4440331432e-06,149.98042,269.96872,300.12847
8.6168941432e-06,153.39867,275.96101,310.19171
8.7897551432e-06,144.34156,277.3142,300.08931
8.9626161432e-06,145.63104,274.82911,298.78401
9.1354771432e-06,135.22817,264.08455,244.15228
9.3083381432e-06,139.17033,276.46734,275.88148
9.4811991432e-06,143.00502,279.2257,284.03889
9.6540601432e-06,135.82633,280.71161,279.07089
9.8269211432e-06,137.81761,295.36474,284.07234
9.9997821432e-06,150.07736,294.81901,312.29887
1.01726431432e-05,151.18434,294.77162,317.92947
1.03455041432e-05,154.94443,301.7508,327.69688
1.05183651432e-05,158.67463,300.03236,314.2371
1.06912261432e-05,158.67541,309.26917,341.57461
1.08640871432e-05,143.9752,303.44175,314.9536
1.10369481432e-05,151.82843,308.05151,330.50328
1.12098091432e-05,148.30376,311.56168,318.71158
1.13826701432e-05,143.77779,314.0493,319.01794
1.15555311432e-05,141.56256,310.78969,316.8732
1.17283921432e-05,136.60363,312.85023,315.42785
1.19012531432e-05,125.98274,298.43144,320.16558
1.20741141432e-05,132.59584,308.89008,331.30053
1.22469751432e-05,136.09354,321.04687,317.45281
1.24198361432e-05,136.86834,325.44561,303.32561
1.25926971432e-05,141.82176,326.42398,314.90836
1.27655581432e-05,145.90803,333.44293,324.51568
1.29384191432e-05,150.13753,320.19066,313.00282
1.31112801432e-05,143.25304,321.20834,316.145
1.32841411432e-05,153.45523,324.00576,326.887
1.34570021432e-05,156.20658,327.82079,334.01769
1.36298631432e-05,160.13165,335.56148,347.2352
1.38027241432e-05,144.2164,325.97613,329.23904
1.39755851432e-05,133.83411,328.28559,322.43972
1.41484461432e-05,137.92043,327.52422,328.81403
1.43213071432e-05,137.52559,332.87397,324.48885
1.44941681432e-05,148.40597,321.36429,306.37179
1.46670291432e-05,157.09872,333.56322,333.00247
1.48398901432e-05,160.05574,335.74758,343.1411
1.50127511432e-05,163.98809,338.50284,353.51388
1.51856121432e-05,165.72854,342.8841,362.21734
1.53584731432e-05,166.78816,347.41359,349.30066
1.55313341432e-05,167.62734,345.54553,339.4392
1.57041951432e-05,156.50457,345.2406,319.60065
1.58770561432e-05,164.48664,343.53747,337.04598
1.60499171432e-05,139.3207,333.64937,293.25553
1.62227781432e-05,149.59498,333.59596,313.40028
1.63956391432e-05,152.89547,337.39829,325.90971
1.65685001432e-05,154.03645,332.83389,341.20182
1.67413611432e-05,143.231,337.98436,340.75286
1.69142221432e-05,147.19547,333.8792,335.18186
1.70870831432e-05,148.40005,324.40064,334.07207
1.72599441432e-05,152.26204,325.52905,333.34328
1.74328051432e-05,154.9426,324.59553,341.75419
1.76056661432e-05,158.37211,328.8829,348.93887
1.77785271432e-05,164.90742,333.36449,356.08768
1.79513881432e-05,168.92133,330.08997,363.57657
1.81242491432e-05,172.76054,333.26347,370.37253
1.82971101432e-05,151.87726,345.1759,331.47875
1.84699711432e-05,154.19188,335.01173,357.67958
1.86428321432e-05,159.42064,341.16812,369.46243
1.88156931432e-05,159.31924,344.48696,376.45197
1.89885541432e-05,156.85489,346.24672,379.22191
1.91614151432e-05,161.57386,350.55099,388.81025
1.93342761432e-05,165.93715,350.21618,395.00048
1.95071371432e-05,150.69621,347.25022,372.15173
1.96799981432e-05,146.16563,354.87141,350.04429
1.98528591432e-05,156.42562,357.3638,347.4552
2.00257201432e-05,144.34463,354.69978,333.18225
2.01985811432e-05,136.7125,352.67824,333.81716
2.03714421432e-05,137.36383,349.95526,323.72115
2.05443031432e-05,132.59909,347.17298,309.82295
2.07171641432e-05,139.16199,347.60794,326.16354
2.08900251432e-05,138.73782,350.37363,323.96285
2.10628861432e-05,130.38109,344.66572,329.97631
2.12357471432e-05,134.36185,348.11093,340.80628
2.14086081432e-05,139.24946,346.66521,330.75886
2.15814691432e-05,135.83867,348.98076,326.63801
2.17543301432e-05,137.68393,345.99306,334.7802
2.19271911432e-05,141.48634,340.27124,341.94697
2.21000521432e-05,138.1387,337.14995,328.82344
2.22729131432e-05,140.6707,342.07074,335.7357
2.24457741432e-05,144.77944,346.16809,321.92956
2.26186351432e-05,138.20912,332.15681,308.12348
2.27914961432e-05,145.68794,357.74817,368.08046
2.29643571432e-05,157.05463,356.82979,386.32899
2.31372181432e-05,161.13322,361.39403,395.29731
2.33100791432e-05,163.66112,358.72838,386.93217
2.34829401432e-05,164.40013,360.64146,395.53664
2.36558011432e-05,165.68153,359.62687,400.43444
2.38286621432e-05,154.75293,357.92537,384.26712
2.40015231432e-05,147.49427,355.79583,385.55109
2.41743841432e-05,155.67002,360.74842,397.63541
2.43472451432e-05,160.67397,361.74722,381.76756
2.45201061432e-05,136.0511,357.82617,319.71727
2.46929671432e-05,150.42621,355.98849,341.94967
2.48658281432e-05,151.4506,359.5939,343.74036
2.50386891432e-05,146.16998,353.6441,324.76549
2.52115501432e-05,122.86501,350.33473,280.00276
2.53844111432e-05,135.38018,343.84951,303.17594
2.55572721432e-05,135.02786,343.49977,307.32284
2.57301331432e-05,140.34554,342.98726,316.52122
2.59029941432e-05,143.66631,345.42133,322.46606
2.60758551432e-05,139.63828,342.97419,310.07001
2.62487161432e-05,144.04787,342.79613,297.42668
