DynoWare	Version 3.2.2.0
Path:	C:\Documents and Settings\User\Dokumenty\Dynamometer - Testovanie rezné sily\5 rezne sily od 12_2020 do projektu\Rn15um_nastroj1\
Filename:	t0.dwd
Config ID:	t0.cfg
Setup ID:	0
Manipulated:	0
Filename 1:	 
Filename 2:	 
Date:	Tuesday, December 08, 2020
Time:	13:36:38
Sampling rate [Hz]:	16667
Measuring time [s]:	20
Delay time [s]:	0
Cycle time [s]:	0
Cycles:	1
Samples per channel:	333321
Cycle interval:	0
Cycle No:	1
Time	Fx	Fy	Fz	Mx	My	Mz
s	N	N	N	Nm	Nm	Nm
13.832003	1.83105	2.80762	7.20215	0.485229	0.604248	0.631714
13.832063	0.793457	3.479	4.15039	0.604248	0.67749	0.3479
13.832123	1.58691	2.86865	5.24902	0.585938	0.512695	0.521851
13.832183	-0.366211	3.479	4.76074	0.494385	0.65918	0.256348
13.832243	0.183105	3.17383	5.98145	0.622559	0.723267	0.466919
13.832303	-0.427246	3.11279	4.27246	0.769043	0.668335	0.622559
13.832363	1.2207	3.54004	6.83594	0.549316	0.567627	0.320435
13.832423	1.2207	2.74658	5.85938	0.668335	0.531006	0.549316
13.832483	1.2207	2.50244	4.88281	0.668335	0.769043	0.531006
13.832543	0.671387	3.05176	8.05664	0.476074	0.576782	0.384521
13.832603	0.976563	4.27246	4.88281	0.622559	0.494385	0.3479
13.832663	0.244141	3.84521	3.90625	0.585938	0.439453	0.402832
13.832723	1.0376	4.21143	5.00488	0.457764	0.531006	0.421143
13.832783	1.70898	3.78418	3.54004	0.769043	0.384521	0.421143
13.832843	1.28174	3.11279	4.76074	0.466919	0.668335	0.576782
13.832903	0.305176	3.54004	1.09863	0.823975	0.613403	0.65918
13.832963	0.610352	2.56348	4.5166	0.67749	0.650024	0.723267
13.833023	0.549316	3.60107	6.71387	0.814819	0.65918	0.393677
13.833083	0.976563	2.74658	10.498	0.622559	0.540161	0.576782
13.833143	0.427246	4.15039	4.63867	0.50354	0.65918	0.50354
13.833203	0.549316	2.86865	6.10352	0.567627	0.421143	0.512695
13.833263	1.58691	3.72314	3.90625	0.476074	0.540161	0.540161
13.833323	1.34277	2.68555	4.88281	0.521851	0.576782	0.476074
13.833383	0.549316	2.92969	3.78418	0.67749	0.714111	0.384521
13.833443	0.305176	2.99072	5.85938	0.769043	0.476074	0.338745
13.833503	0.610352	3.72314	4.5166	0.540161	0.576782	0.402832
13.833563	1.09863	3.72314	3.2959	0.65918	0.595093	0.430298
13.833623	0	4.15039	5.49316	0.540161	0.531006	0.567627
13.833683	1.2207	3.17383	4.63867	0.494385	0.595093	0.567627
13.833743	0.427246	3.35693	5.12695	0.430298	0.732422	0.640869
13.833803	0.671387	2.2583	4.27246	0.595093	0.631714	0.558472
13.833863	0.427246	2.74658	5.24902	0.567627	0.567627	0.540161
13.833923	0.610352	2.74658	4.88281	0.631714	0.549316	0.411987
13.833983	0.427246	3.479	4.27246	0.585938	0.50354	0.384521
13.834043	1.34277	3.05176	3.41797	0.613403	0.604248	0.521851
13.834103	0.915527	3.54004	5.12695	0.695801	0.50354	0.338745
13.834163	0.854492	3.23486	4.15039	0.622559	0.631714	0.457764
13.834223	0.732422	3.60107	3.2959	0.67749	0.512695	0.521851
13.834283	1.09863	2.86865	2.80762	0.448608	0.613403	0.549316
13.834343	0.671387	2.74658	4.39453	0.558472	0.549316	0.485229
13.834403	0.12207	2.86865	3.05176	0.466919	0.512695	0.65918
13.834463	0.183105	2.50244	5.37109	0.457764	0.540161	0.622559
13.834523	0.793457	3.479	3.90625	0.512695	0.567627	0.494385
13.834583	0.793457	3.41797	4.15039	0.704956	0.604248	0.393677
13.834643	0.183105	3.60107	3.66211	0.622559	0.558472	0.485229
13.834703	0.915527	2.68555	2.44141	0.585938	0.604248	0.457764
13.834763	1.28174	2.74658	0.366211	0.650024	0.531006	0.421143
13.834823	0.915527	3.17383	3.66211	0.668335	0.558472	0.311279
13.834883	0.610352	3.35693	3.78418	0.485229	0.604248	0.595093
13.834943	0.854492	2.68555	2.68555	0.65918	0.622559	0.595093
13.835003	0.488281	3.23486	6.22559	0.576782	0.65918	0.531006
13.835063	0.976563	3.35693	4.5166	0.567627	0.613403	0.759888
13.835123	0.671387	3.41797	7.8125	0.448608	0.576782	0.466919
13.835183	0.854492	3.11279	4.27246	0.531006	0.521851	0.375366
13.835243	0.549316	3.72314	5.12695	0.558472	0.540161	0.3479
13.835303	2.01416	3.11279	1.46484	0.668335	0.549316	0.567627
13.835363	0.671387	1.89209	3.66211	0.604248	0.576782	0.466919
13.835423	0.366211	2.68555	1.46484	0.750732	0.631714	0.311279
13.835483	0.610352	2.44141	6.5918	0.750732	0.494385	0.50354
13.835543	0.793457	3.11279	4.15039	0.512695	0.595093	0.485229
13.835603	0.427246	2.68555	4.27246	0.604248	0.604248	0.567627
13.835663	1.09863	2.2583	5.7373	0.613403	0.595093	0.549316
13.835723	0.732422	1.83105	5.24902	0.723267	0.50354	0.558472
13.835783	0.183105	3.60107	6.95801	0.393677	0.540161	0.521851
13.835843	1.2207	3.05176	4.27246	0.585938	0.531006	0.494385
13.835903	1.0376	2.62451	4.88281	0.531006	0.686646	0.50354
13.835963	0.183105	3.17383	2.19727	0.714111	0.650024	0.476074
13.836023	-0.366211	3.05176	3.90625	0.457764	0.714111	0.50354
13.836083	1.15967	1.64795	1.34277	0.714111	0.759888	0.32959
13.836143	0.244141	3.23486	1.34277	0.668335	0.512695	0.494385
13.836203	0.427246	1.95313	3.78418	0.531006	0.723267	0.439453
13.836263	0.976563	2.19727	5.37109	0.393677	0.595093	0.476074
13.836323	0.305176	3.35693	4.27246	0.714111	0.540161	0.494385
13.836383	0.12207	3.05176	6.46973	0.595093	0.585938	0.430298
13.836443	0.854492	2.19727	4.76074	0.402832	0.567627	0.549316
13.836503	-0.183105	3.35693	4.27246	0.65918	0.540161	0.430298
13.836563	0.427246	2.92969	5.24902	0.512695	0.750732	0.421143
13.836623	0.549316	2.50244	6.46973	0.67749	0.668335	0.375366
13.836683	-0.0610352	3.90625	3.17383	0.686646	0.631714	0.558472
13.836743	-0.0610352	3.23486	2.92969	0.613403	0.622559	0.311279
13.836803	1.40381	2.50244	2.92969	0.494385	0.640869	0.494385
13.836863	0.793457	2.31934	5.85938	0.695801	0.485229	0.576782
13.836923	0	2.62451	3.54004	0.50354	0.650024	0.512695
13.836983	0.915527	1.58691	5.00488	0.485229	0.723267	0.448608
13.837043	1.40381	3.479	4.63867	0.613403	0.393677	0.466919
13.837103	0.427246	3.90625	5.00488	0.531006	0.50354	0.320435
13.837163	0.610352	2.56348	6.22559	0.476074	0.549316	0.494385
13.837223	0.610352	2.92969	3.2959	0.65918	0.576782	0.338745
13.837283	1.2207	2.62451	4.5166	0.466919	0.704956	0.558472
13.837343	0.854492	2.50244	5.49316	0.640869	0.558472	0.448608
13.837403	0.732422	3.05176	3.2959	0.604248	0.521851	0.457764
13.837463	0.427246	2.38037	3.17383	0.604248	0.805664	0.595093
13.837523	0.366211	3.23486	3.78418	0.631714	0.750732	0.604248
13.837583	0.671387	1.95313	6.22559	0.723267	0.613403	0.338745
13.837643	-0.0610352	3.23486	7.32422	0.558472	0.521851	0.384521
13.837703	1.0376	3.41797	4.39453	0.549316	0.50354	0.476074
13.837763	0.915527	2.13623	5.12695	0.549316	0.448608	0.3479
13.837823	0.732422	2.86865	4.15039	0.585938	0.558472	0.457764
13.837883	0.183105	1.40381	4.5166	0.549316	0.604248	0.402832
13.837943	0.610352	2.80762	2.56348	0.640869	0.897217	0.558472
13.838003	0.732422	1.89209	6.5918	0.769043	0.640869	0.476074
13.838063	0.976563	3.2959	4.27246	0.512695	0.83313	0.695801
13.838123	0.915527	2.56348	5.00488	0.67749	0.85144	0.476074
13.838183	-0.610352	3.05176	5.49316	0.421143	0.567627	0.750732
13.838243	0.488281	2.13623	6.10352	0.576782	0.576782	0.384521
13.838303	0.610352	2.38037	5.85938	0.558472	0.549316	0.485229
13.838363	1.34277	2.44141	4.5166	0.576782	0.686646	0.228882
13.838423	0.488281	3.23486	7.08008	0.650024	0.466919	0.457764
13.838483	1.15967	3.60107	4.5166	0.567627	0.65918	0.485229
13.838543	1.28174	3.60107	3.17383	0.558472	0.732422	0.668335
13.838603	1.46484	3.17383	3.2959	0.650024	0.842285	0.631714
13.838663	0.671387	1.83105	7.08008	0.704956	0.668335	0.512695
13.838723	0.12207	1.89209	7.69043	0.567627	0.723267	0.283813
13.838783	0.793457	2.2583	4.15039	0.567627	0.393677	0.640869
13.838843	1.58691	3.17383	6.46973	0.411987	0.714111	0.585938
13.838903	0.976563	2.44141	6.71387	0.668335	0.695801	0.567627
13.838963	-0.183105	2.62451	4.63867	0.549316	0.796509	0.512695
13.839023	0.12207	2.0752	5.7373	0.750732	0.476074	0.3479
13.839083	0.793457	3.05176	7.8125	0.622559	0.668335	0.283813
13.839143	0.732422	2.44141	2.68555	0.604248	0.558472	0.476074
13.839203	0.12207	3.23486	3.41797	0.549316	0.622559	0.512695
13.839263	0	2.13623	5.61523	0.67749	0.750732	0.421143
13.839323	0.366211	2.80762	3.41797	0.512695	0.823975	0.494385
13.839383	0.915527	2.50244	6.71387	0.576782	0.805664	0.631714
13.839443	0.244141	1.64795	4.15039	0.494385	0.778198	0.650024
13.839503	0.671387	2.86865	4.39453	0.67749	0.613403	0.512695
13.839563	1.40381	2.13623	7.32422	0.521851	0.512695	0.402832
13.839623	1.34277	2.86865	2.80762	0.714111	0.531006	0.531006
13.839683	0.244141	2.74658	4.76074	0.576782	0.723267	0.421143
13.839743	0.610352	3.17383	5.85938	0.732422	0.50354	0.375366
13.839803	0.549316	3.2959	4.27246	0.604248	0.613403	0.393677
13.839863	1.15967	2.92969	3.17383	0.622559	0.65918	0.613403
13.839923	0.305176	2.80762	5.61523	0.640869	0.695801	0.521851
13.839983	0.671387	3.66211	5.00488	0.686646	0.576782	0.650024
13.840043	0.366211	4.08936	8.78906	0.411987	0.823975	0.485229
13.840103	0.610352	2.99072	3.05176	0.512695	0.622559	0.650024
13.840163	0.366211	3.60107	3.66211	0.567627	0.457764	0.411987
13.840223	1.0376	3.23486	5.7373	0.476074	0.549316	0.604248
13.840283	0.549316	3.41797	3.05176	0.704956	0.549316	0.430298
13.840343	0.549316	2.38037	4.15039	0.576782	0.668335	0.448608
13.840403	0.549316	3.35693	5.61523	0.640869	0.439453	0.366211
13.840463	0.244141	3.72314	3.05176	0.613403	0.67749	0.393677
