DynoWare	Version 3.2.2.0
Path:	C:\Documents and Settings\User\Dokumenty\Dynamometer - Testovanie rezné sily\5 rezne sily od 12_2020 do projektu\Rn15um_nastroj2\
Filename:	t0.dwd
Config ID:	t0.cfg
Setup ID:	0
Manipulated:	0
Filename 1:	 
Filename 2:	 
Date:	Tuesday, January 19, 2021
Time:	11:16:38
Sampling rate [Hz]:	16667
Measuring time [s]:	20
Delay time [s]:	0
Cycle time [s]:	0
Cycles:	1
Samples per channel:	333321
Cycle interval:	0
Cycle No:	1
Time	Fx	Fy	Fz	Mx	My	Mz
s	N	N	N	Nm	Nm	Nm
10.00474	1.83105	3.66211	1.58691	0.778198	0.531006	0.411987
10.0048	1.89209	3.05176	-0.610352	0.869751	0.640869	0.558472
10.00486	1.70898	3.2959	0.488281	0.860596	0.50354	0.448608
10.00492	2.80762	2.74658	0.976563	0.759888	0.50354	0.402832
10.00498	2.13623	2.86865	0.244141	0.796509	0.558472	0.311279
10.00504	2.19727	2.92969	0	0.897217	0.494385	0.265503
10.0051	1.95313	2.92969	-0.12207	0.85144	0.65918	0.476074
10.00516	2.01416	3.23486	0.854492	0.750732	0.613403	0.558472
10.00522	1.46484	3.05176	0.610352	0.906372	0.549316	0.375366
10.00528	1.64795	3.23486	0.976563	0.906372	0.631714	0.411987
10.00534	2.19727	3.54004	0.732422	0.814819	0.512695	0.485229
10.0054	2.01416	2.62451	3.54004	0.759888	0.631714	0.604248
10.00546	2.2583	2.56348	1.95313	0.714111	0.448608	0.50354
10.00552	2.50244	3.11279	2.0752	0.796509	0.558472	0.430298
10.00558	2.92969	2.68555	-0.488281	0.897217	0.576782	0.521851
10.00564	2.13623	3.35693	0.488281	0.869751	0.50354	0.448608
10.0057	1.64795	3.54004	2.44141	0.796509	0.558472	0.512695
10.00576	2.2583	3.72314	1.58691	0.897217	0.640869	0.384521
10.00582	2.44141	3.54004	0.244141	0.906372	0.512695	0.247192
10.00588	2.13623	2.62451	-0.610352	0.814819	0.531006	0.457764
10.00594	2.80762	2.80762	1.2207	0.723267	0.549316	0.585938
10.006	2.31934	2.80762	1.34277	0.85144	0.531006	0.393677
10.00606	2.0752	2.62451	1.2207	0.878906	0.521851	0.384521
10.00612	2.0752	3.2959	0.854492	0.787354	0.585938	0.494385
10.00618	1.70898	3.23486	3.05176	0.796509	0.640869	0.686646
10.00624	2.0752	3.2959	2.68555	0.805664	0.512695	0.476074
10.0063	1.64795	3.35693	1.83105	0.769043	0.558472	0.411987
10.00636	1.83105	2.38037	-1.34277	0.842285	0.613403	0.521851
10.00642	2.19727	2.74658	-0.12207	0.814819	0.540161	0.466919
10.00648	2.50244	3.11279	1.2207	0.769043	0.476074	0.411987
