DynoWare	Version 3.2.2.0
Path:	C:\Documents and Settings\User\Dokumenty\Dynamometer - Testovanie rezné sily\5 rezne sily od 12_2020 do projektu\Rn30um_nastroj1\
Filename:	t0.dwd
Config ID:	t0.cfg
Setup ID:	0
Manipulated:	0
Filename 1:	 
Filename 2:	 
Date:	Friday, December 11, 2020
Time:	09:45:34
Sampling rate [Hz]:	16667
Measuring time [s]:	20
Delay time [s]:	0
Cycle time [s]:	0
Cycles:	1
Samples per channel:	333321
Cycle interval:	0
Cycle No:	1
Time	Fx	Fy	Fz	Mx	My	Mz
s	N	N	N	Nm	Nm	Nm
11.453351	0.427246	4.3335	5.24902	0.723267	0.228882	0.265503
11.453411	1.28174	3.479	2.44141	0.549316	0.631714	0.521851
11.453471	2.0752	3.17383	2.19727	0.759888	0.485229	0.549316
11.453531	0	3.35693	2.0752	0.640869	0.640869	0.411987
11.453591	1.46484	2.86865	0.366211	0.759888	0.476074	0.567627
11.453651	0.244141	2.13623	2.19727	0.787354	0.796509	0.421143
11.453711	0.793457	2.01416	2.19727	0.878906	0.83313	0.613403
11.453771	0.976563	3.05176	5.12695	0.540161	0.50354	0.585938
11.453831	1.15967	3.54004	5.7373	0.512695	0.366211	0.32959
11.453891	0.732422	2.80762	2.44141	0.704956	0.631714	0.521851
11.453951	1.40381	3.05176	5.49316	0.65918	0.50354	0.631714
11.454011	1.40381	2.50244	2.19727	0.466919	0.640869	0.384521
11.454071	0.549316	2.2583	4.63867	0.585938	0.512695	0.466919
11.454131	0.610352	2.13623	1.70898	0.695801	0.576782	0.439453
11.454191	1.77002	2.44141	1.46484	0.723267	0.595093	0.549316
11.454251	1.40381	1.15967	2.68555	0.567627	0.686646	0.65918
11.454311	1.09863	2.80762	5.37109	0.558472	0.421143	0.357056
11.454371	0.366211	2.80762	4.02832	0.869751	0.540161	0.357056
11.454431	1.28174	4.57764	6.46973	0.714111	0.650024	0.521851
11.454491	1.09863	3.05176	2.68555	0.704956	0.50354	0.393677
11.454551	1.0376	2.68555	4.39453	0.65918	0.640869	0.558472
11.454611	0.671387	2.80762	3.17383	0.723267	0.723267	0.466919
11.454671	0.793457	2.68555	3.54004	0.796509	0.439453	0.567627
11.454731	0.366211	3.66211	2.0752	0.650024	0.576782	0.631714
11.454791	1.09863	2.38037	2.56348	0.521851	0.549316	0.521851
11.454851	0.732422	3.54004	2.68555	0.842285	0.531006	0.50354
11.454911	0.732422	2.56348	5.00488	0.686646	0.650024	0.384521
11.454971	1.09863	3.84521	4.39453	0.805664	0.485229	0.3479
11.455031	0.854492	2.2583	1.58691	0.668335	0.50354	0.668335
11.455091	1.0376	3.17383	1.58691	0.759888	0.485229	0.613403
11.455151	1.09863	2.62451	2.44141	0.650024	0.750732	0.439453
11.455211	0.915527	2.68555	1.70898	0.897217	0.549316	0.494385
11.455271	0.488281	2.80762	4.63867	0.531006	0.50354	0.494385
11.455331	0.915527	4.27246	1.83105	0.778198	0.558472	0.485229
11.455391	1.58691	2.56348	3.05176	0.650024	0.686646	0.613403
11.455451	1.64795	3.41797	0.854492	0.778198	0.549316	0.430298
11.455511	1.28174	2.13623	4.63867	0.631714	0.65918	0.485229
11.455571	0.427246	3.54004	1.70898	0.759888	0.50354	0.531006
11.455631	0.732422	2.99072	3.66211	0.604248	0.604248	0.485229
11.455691	1.28174	3.23486	0.244141	0.83313	0.521851	0.540161
11.455751	0.366211	2.38037	4.5166	0.595093	0.631714	0.366211
11.455811	0.366211	3.23486	4.76074	0.695801	0.485229	0.494385
11.455871	0.976563	3.84521	1.70898	0.704956	0.622559	0.50354
11.455931	1.95313	3.05176	2.44141	0.650024	0.411987	0.430298
11.455991	1.40381	2.31934	3.2959	0.650024	0.567627	0.521851
11.456051	0.549316	3.11279	2.68555	0.714111	0.640869	0.3479
11.456111	1.64795	3.35693	4.27246	0.750732	0.430298	0.3479
11.456171	1.15967	2.86865	0.12207	0.604248	0.549316	0.375366
11.456231	1.09863	2.74658	1.58691	0.686646	0.50354	0.650024
11.456291	0.427246	2.2583	3.41797	0.585938	0.723267	0.256348
11.456351	0.488281	3.23486	1.70898	0.869751	0.540161	0.650024
11.456411	0.976563	2.80762	5.85938	0.50354	0.585938	0.357056
11.456471	1.52588	3.78418	0.366211	0.805664	0.485229	0.50354
11.456531	1.0376	2.68555	4.02832	0.540161	0.576782	0.457764
11.456591	2.19727	2.86865	4.27246	0.778198	0.50354	0.3479
11.456651	1.40381	3.41797	3.54004	0.732422	0.650024	0.320435
11.456711	1.40381	3.23486	6.46973	0.631714	0.585938	0.531006
11.456771	1.70898	2.80762	2.31934	0.814819	0.384521	0.50354
11.456831	1.2207	2.92969	2.80762	0.787354	0.585938	0.476074
