,time,Fx,Fy,Fz,Mx,My,Mz
0,9.763365,1.0376,3.54004,8.17871,0.695801,0.67749,0.558472
1,9.763425,1.58691,3.05176,4.27246,0.759888,0.622559,0.549316
2,9.763485,1.0376,2.56348,6.83594,0.549316,0.576782,0.640869
3,9.763545,1.58691,2.92969,8.42285,0.631714,0.567627,0.521851
4,9.763605,1.2207,2.68555,7.44629,0.67749,0.686646,0.567627
5,9.763665,0.671387,3.17383,9.0332,0.622559,0.558472,0.512695
6,9.763725,1.0376,2.86865,7.20215,0.695801,0.585938,0.50354
7,9.763785,0.793457,3.11279,9.39941,0.695801,0.613403,0.613403
8,9.763845,1.2207,3.35693,8.54492,0.714111,0.585938,0.485229
9,9.763905,1.2207,3.78418,9.39941,0.67749,0.604248,0.375366
10,9.763965,0.732422,2.92969,6.95801,0.686646,0.67749,0.622559
11,9.764025,1.34277,2.38037,8.05664,0.704956,0.576782,0.512695
12,9.764085,1.58691,2.31934,7.32422,0.723267,0.723267,0.613403
13,9.764145,0.854492,2.56348,6.83594,0.622559,0.604248,0.567627
14,9.764205,0.610352,2.31934,8.54492,0.622559,0.65918,0.576782
15,9.764265,0.793457,2.99072,7.69043,0.67749,0.695801,0.65918
16,9.764325,2.2583,3.60107,10.376,0.631714,0.668335,0.83313
17,9.764385,1.52588,3.23486,8.91113,0.512695,0.531006,0.485229
18,9.764445,1.64795,2.74658,5.61523,0.723267,0.576782,0.65918
19,9.764505,1.58691,2.68555,9.64355,0.558472,0.549316,0.668335
20,9.764565,1.34277,3.66211,7.44629,0.604248,0.604248,0.457764
21,9.764625,1.70898,3.05176,8.42285,0.567627,0.595093,0.585938
22,9.764685,1.09863,2.86865,7.32422,0.549316,0.558472,0.485229
23,9.764745,1.2207,3.35693,7.56836,0.714111,0.585938,0.531006
24,9.764805,0.671387,3.35693,6.46973,0.83313,0.640869,0.567627
25,9.764865,0.732422,3.05176,9.39941,0.631714,0.558472,0.540161
26,9.764925,0.793457,2.74658,8.54492,0.695801,0.622559,0.558472
27,9.764985,0.915527,3.17383,6.83594,0.695801,0.686646,0.576782
28,9.765045,1.28174,3.11279,8.66699,0.650024,0.585938,0.494385
29,9.765105,1.34277,2.74658,6.34766,0.723267,0.622559,0.50354
30,9.765165,2.13623,2.38037,6.95801,0.65918,0.604248,0.613403
31,9.765225,1.64795,2.80762,7.69043,0.695801,0.585938,0.430298
32,9.765285,1.64795,2.99072,7.8125,0.686646,0.640869,0.476074
33,9.765345,1.2207,2.99072,5.7373,0.604248,0.668335,0.695801
34,9.765405,1.28174,2.80762,5.98145,0.558472,0.558472,0.476074
35,9.765465,0.671387,3.60107,6.83594,0.668335,0.704956,0.631714
36,9.765525,1.58691,3.05176,6.71387,0.65918,0.567627,0.531006
37,9.765585,1.46484,2.56348,7.32422,0.604248,0.521851,0.531006
38,9.765645,1.46484,2.50244,4.63867,0.604248,0.604248,0.576782
39,9.765705,1.0376,2.62451,8.17871,0.576782,0.576782,0.723267
40,9.765765,1.52588,3.17383,11.1084,0.631714,0.476074,0.338745
41,9.765825,1.09863,2.99072,6.10352,0.759888,0.668335,0.448608
42,9.765885,1.0376,3.23486,9.0332,0.640869,0.631714,0.567627
43,9.765945,1.15967,2.92969,8.30078,0.778198,0.67749,0.531006
