DynoWare	Version 3.2.2.0
Path:	C:\Documents and Settings\User\Dokumenty\Dynamometer - Testovanie rezné sily\5 rezne sily od 12_2020 do projektu\Rn30um_nastroj3\
Filename:	t0.dwd
Config ID:	t0.cfg
Setup ID:	0
Manipulated:	0
Filename 1:	 
Filename 2:	 
Date:	Friday, February 05, 2021
Time:	08:49:39
Sampling rate [Hz]:	16667
Measuring time [s]:	20
Delay time [s]:	0
Cycle time [s]:	0
Cycles:	1
Samples per channel:	333321
Cycle interval:	0
Cycle No:	1
Time	Fx	Fy	Fz	Mx	My	Mz
s	N	N	N	Nm	Nm	Nm
9.372833	1.70898	3.35693	7.20215	0.595093	0.604248	0.567627
9.372893	1.09863	3.05176	7.69043	0.622559	0.622559	0.540161
9.372953	1.52588	3.479	6.71387	0.650024	0.67749	0.604248
9.373013	1.95313	2.80762	6.10352	0.686646	0.650024	0.622559
9.373073	2.0752	2.86865	8.30078	0.714111	0.640869	0.622559
9.373133	2.31934	3.05176	11.2305	0.585938	0.466919	0.466919
9.373193	2.2583	3.23486	4.27246	0.65918	0.714111	0.85144
9.373253	1.77002	3.35693	7.56836	0.65918	0.714111	0.531006
9.373313	1.34277	3.54004	6.83594	0.549316	0.521851	0.357056
9.373373	1.15967	3.479	5.49316	0.650024	0.650024	0.567627
9.373433	1.52588	3.17383	6.46973	0.750732	0.686646	0.67749
9.373493	1.2207	2.68555	7.32422	0.622559	0.576782	0.512695
9.373553	1.2207	2.2583	6.71387	0.567627	0.604248	0.540161
9.373613	1.64795	3.17383	6.71387	0.640869	0.695801	0.631714
9.373673	1.58691	2.68555	6.22559	0.67749	0.668335	0.585938
9.373733	1.95313	3.60107	6.10352	0.759888	0.714111	0.576782
9.373793	2.19727	3.35693	8.17871	0.650024	0.50354	0.393677
9.373853	1.40381	3.05176	5.7373	0.604248	0.558472	0.549316
9.373913	1.52588	3.17383	6.34766	0.695801	0.723267	0.723267
9.373973	1.46484	2.86865	7.08008	0.650024	0.67749	0.567627
9.374033	1.52588	2.56348	7.08008	0.668335	0.704956	0.531006
9.374093	1.52588	3.78418	7.8125	0.686646	0.65918	0.558472
9.374153	2.38037	2.74658	5.37109	0.640869	0.622559	0.595093
9.374213	1.89209	2.44141	6.71387	0.714111	0.631714	0.595093
9.374273	2.62451	3.17383	6.95801	0.668335	0.595093	0.448608
9.374333	1.40381	3.23486	6.34766	0.613403	0.65918	0.787354
9.374393	1.28174	3.41797	6.71387	0.695801	0.787354	0.585938
9.374453	1.77002	3.17383	8.42285	0.613403	0.576782	0.366211
9.374513	1.34277	2.38037	6.46973	0.576782	0.604248	0.521851
9.374573	2.19727	2.19727	5.98145	0.769043	0.732422	0.759888
9.374633	2.56348	2.92969	8.05664	0.695801	0.604248	0.576782
9.374693	2.0752	2.74658	5.98145	0.622559	0.558472	0.558472
9.374753	2.2583	3.35693	8.54492	0.576782	0.567627	0.558472
9.374813	2.13623	3.78418	5.00488	0.704956	0.650024	0.576782
9.374873	1.64795	3.60107	6.5918	0.723267	0.704956	0.631714
9.374933	2.0752	3.41797	8.30078	0.750732	0.604248	0.485229
9.374993	2.13623	2.80762	6.95801	0.613403	0.549316	0.540161
9.375052	1.95313	2.44141	6.46973	0.576782	0.650024	0.668335
9.375112	2.19727	2.80762	6.71387	0.695801	0.695801	0.65918
9.375172	2.0752	2.62451	7.8125	0.613403	0.604248	0.485229
9.375232	1.70898	3.2959	7.56836	0.732422	0.67749	0.521851
9.375292	2.2583	3.60107	6.83594	0.714111	0.585938	0.585938
9.375352	1.15967	3.54004	5.98145	0.686646	0.622559	0.549316
9.375412	1.34277	3.479	7.69043	0.686646	0.65918	0.585938
9.375472	1.28174	3.23486	9.64355	0.549316	0.604248	0.585938
9.375532	1.70898	3.17383	2.44141	0.750732	0.759888	0.704956
9.375592	2.50244	2.92969	8.66699	0.714111	0.613403	0.439453
9.375652	2.38037	2.68555	6.83594	0.521851	0.476074	0.439453
9.375712	2.31934	2.80762	5.00488	0.668335	0.640869	0.695801
9.375772	2.62451	3.54004	5.85938	0.759888	0.723267	0.65918
9.375832	1.52588	3.23486	7.20215	0.631714	0.640869	0.567627
9.375892	1.34277	3.2959	8.05664	0.613403	0.640869	0.494385
9.375952	1.70898	3.35693	5.49316	0.631714	0.686646	0.576782
9.376012	1.64795	2.80762	5.12695	0.65918	0.631714	0.576782
9.376072	1.95313	2.68555	7.08008	0.741577	0.741577	0.668335
9.376132	2.0752	3.11279	9.0332	0.595093	0.540161	0.50354
9.376192	1.89209	2.99072	6.22559	0.604248	0.567627	0.640869
9.376252	0.671387	4.02832	6.71387	0.686646	0.723267	0.622559
9.376312	1.58691	3.54004	6.71387	0.613403	0.576782	0.512695
9.376372	1.40381	2.50244	7.20215	0.604248	0.613403	0.631714
9.376432	1.28174	3.2959	7.08008	0.650024	0.631714	0.631714
9.376492	1.34277	2.80762	4.88281	0.686646	0.640869	0.650024
9.376552	1.83105	2.50244	7.56836	0.668335	0.695801	0.650024
9.376612	2.13623	3.11279	7.44629	0.650024	0.576782	0.384521
9.376672	1.64795	3.05176	5.37109	0.595093	0.595093	0.695801
9.376732	1.52588	3.54004	6.22559	0.769043	0.805664	0.668335
9.376792	1.64795	3.479	8.91113	0.576782	0.485229	0.375366
9.376852	1.52588	3.05176	6.46973	0.540161	0.476074	0.494385
9.376912	1.70898	2.99072	5.49316	0.695801	0.650024	0.714111
9.376972	1.77002	2.86865	6.22559	0.631714	0.613403	0.585938
9.377032	1.70898	2.56348	6.34766	0.595093	0.65918	0.567627
9.377092	2.38037	3.2959	8.05664	0.65918	0.576782	0.50354
9.377152	2.2583	3.17383	4.5166	0.640869	0.640869	0.640869
9.377212	1.70898	3.41797	6.71387	0.640869	0.631714	0.650024
9.377272	1.95313	3.2959	6.10352	0.65918	0.604248	0.494385
9.377332	1.09863	3.11279	7.32422	0.549316	0.558472	0.476074
9.377392	0.793457	2.92969	5.85938	0.695801	0.650024	0.622559
9.377452	1.64795	3.2959	4.76074	0.723267	0.695801	0.622559
9.377512	1.40381	3.11279	6.5918	0.640869	0.613403	0.540161
9.377572	1.89209	2.38037	8.42285	0.650024	0.640869	0.576782
9.377632	2.62451	3.60107	6.5918	0.613403	0.585938	0.558472
9.377692	2.01416	3.60107	5.7373	0.723267	0.65918	0.650024
9.377752	2.19727	3.66211	7.8125	0.759888	0.723267	0.631714
9.377812	1.46484	3.17383	6.71387	0.558472	0.512695	0.3479
9.377872	0.915527	2.74658	5.85938	0.65918	0.668335	0.83313
9.377932	1.2207	3.54004	7.56836	0.805664	0.695801	0.558472
9.377992	1.58691	2.56348	9.0332	0.604248	0.466919	0.411987
9.378052	1.46484	2.99072	7.56836	0.650024	0.585938	0.67749
9.378112	1.89209	3.2959	6.5918	0.686646	0.631714	0.686646
9.378172	1.52588	2.74658	6.5918	0.640869	0.613403	0.521851
9.378232	1.58691	3.35693	6.22559	0.668335	0.65918	0.585938
9.378292	1.83105	3.11279	7.56836	0.595093	0.521851	0.50354
9.378352	1.0376	2.86865	5.49316	0.67749	0.668335	0.67749
9.378412	1.40381	2.86865	7.69043	0.67749	0.686646	0.65918
9.378472	1.46484	3.2959	7.56836	0.613403	0.604248	0.448608
9.378532	1.34277	2.56348	6.83594	0.622559	0.567627	0.576782
9.378592	1.83105	3.41797	6.71387	0.640869	0.640869	0.613403
9.378652	1.83105	3.35693	5.7373	0.67749	0.650024	0.67749
9.378712	1.89209	3.41797	8.91113	0.695801	0.640869	0.531006
9.378772	1.83105	3.479	7.56836	0.622559	0.622559	0.512695
9.378832	1.40381	2.80762	6.5918	0.613403	0.576782	0.585938
9.378892	1.2207	2.44141	6.83594	0.732422	0.695801	0.631714
9.378952	1.52588	3.17383	7.93457	0.67749	0.65918	0.558472
9.379012	1.77002	2.74658	9.64355	0.576782	0.50354	0.448608
9.379072	2.13623	2.92969	5.61523	0.796509	0.787354	0.860596
9.379132	1.58691	3.41797	8.17871	0.668335	0.540161	0.485229
9.379192	1.52588	3.2959	9.0332	0.567627	0.558472	0.476074
9.379252	1.58691	3.54004	6.83594	0.650024	0.668335	0.622559
9.379312	1.46484	3.05176	5.37109	0.67749	0.695801	0.631714
9.379372	1.64795	2.74658	7.32422	0.640869	0.650024	0.549316
9.379432	1.77002	3.11279	7.08008	0.613403	0.613403	0.457764
9.379492	1.46484	2.56348	6.46973	0.613403	0.576782	0.576782
9.379552	1.77002	2.74658	5.85938	0.723267	0.741577	0.704956
9.379612	2.38037	3.17383	7.44629	0.750732	0.67749	0.723267
9.379672	1.2207	4.3335	8.42285	0.585938	0.576782	0.466919
9.379732	1.52588	3.66211	6.10352	0.650024	0.650024	0.576782
9.379792	1.52588	2.62451	8.05664	0.650024	0.613403	0.613403
9.379852	1.58691	2.80762	5.85938	0.704956	0.668335	0.576782
9.379912	1.2207	2.74658	8.42285	0.650024	0.668335	0.576782
9.379972	1.70898	3.23486	6.83594	0.531006	0.567627	0.521851
9.380032	1.70898	2.2583	6.46973	0.622559	0.668335	0.686646
9.380092	2.50244	3.11279	7.69043	0.732422	0.65918	0.640869
9.380152	2.0752	3.41797	6.46973	0.67749	0.604248	0.494385
9.380212	1.64795	3.84521	6.22559	0.67749	0.668335	0.650024
9.380272	1.77002	4.08936	5.12695	0.814819	0.732422	0.622559
9.380332	0.915527	2.92969	7.8125	0.595093	0.521851	0.393677
9.380392	0.915527	2.62451	7.32422	0.558472	0.567627	0.512695
9.380452	1.52588	2.44141	7.32422	0.686646	0.631714	0.631714
9.380512	1.89209	3.11279	5.85938	0.723267	0.640869	0.595093
9.380572	1.70898	3.54004	7.44629	0.668335	0.640869	0.595093
9.380632	1.89209	3.72314	7.93457	0.585938	0.540161	0.411987
9.380692	1.64795	3.41797	5.49316	0.686646	0.631714	0.622559
9.380752	1.46484	3.78418	7.69043	0.732422	0.723267	0.686646
9.380812	1.58691	3.17383	7.56836	0.686646	0.622559	0.421143
9.380872	1.2207	2.92969	7.20215	0.640869	0.65918	0.549316
9.380932	0.915527	2.92969	7.8125	0.67749	0.631714	0.622559
9.380992	0.976563	2.50244	6.22559	0.695801	0.650024	0.613403
9.381052	1.40381	2.92969	8.05664	0.67749	0.695801	0.576782
9.381112	1.46484	4.08936	7.56836	0.723267	0.668335	0.567627
9.381172	1.83105	3.54004	7.56836	0.67749	0.668335	0.65918
9.381232	1.52588	3.479	6.34766	0.787354	0.723267	0.613403
9.381292	1.77002	3.479	6.83594	0.65918	0.640869	0.531006
9.381352	0.793457	2.38037	11.1084	0.521851	0.558472	0.567627
9.381412	0.854492	2.99072	3.17383	0.85144	0.823975	0.732422
9.381472	1.52588	2.86865	8.17871	0.650024	0.622559	0.439453
9.381532	1.46484	2.80762	7.8125	0.567627	0.531006	0.466919
9.381592	1.95313	3.66211	6.34766	0.704956	0.668335	0.65918
9.381652	1.77002	3.41797	5.61523	0.714111	0.67749	0.668335
9.381712	1.40381	3.11279	8.42285	0.650024	0.622559	0.67749
9.381772	1.83105	3.23486	8.30078	0.67749	0.613403	0.50354
9.381832	1.28174	3.35693	5.49316	0.631714	0.640869	0.613403
9.381892	0.671387	3.11279	7.08008	0.695801	0.67749	0.65918
9.381952	1.52588	2.80762	7.44629	0.723267	0.631714	0.512695
