DynoWare	Version 3.2.2.0
Path:	C:\Documents and Settings\User\Dokumenty\Dynamometer - Testovanie rezné sily\5 rezne sily od 12_2020 do projektu\Rn45um_nastroj2\
Filename:	t0.dwd
Config ID:	t0.cfg
Setup ID:	0
Manipulated:	0
Filename 1:	 
Filename 2:	 
Date:	Wednesday, January 20, 2021
Time:	13:50:27
Sampling rate [Hz]:	16667
Measuring time [s]:	20
Delay time [s]:	0
Cycle time [s]:	0
Cycles:	1
Samples per channel:	333321
Cycle interval:	0
Cycle No:	1
Time	Fx	Fy	Fz	Mx	My	Mz
s	N	N	N	Nm	Nm	Nm
10.02136	1.40381	3.17383	13.3057	0.402832	0.585938	0.576782
10.02142	1.83105	3.17383	12.4512	0.494385	0.640869	0.457764
10.02148	2.19727	3.54004	12.085	0.576782	0.704956	0.631714
10.02154	1.70898	3.60107	12.8174	0.613403	0.631714	0.521851
10.0216	1.28174	3.54004	13.4277	0.540161	0.650024	0.485229
10.02166	1.0376	3.11279	12.085	0.613403	0.769043	0.411987
10.02172	1.40381	3.23486	12.3291	0.549316	0.732422	0.430298
10.02178	1.40381	2.68555	11.2305	0.631714	0.759888	0.50354
10.02184	1.52588	2.68555	12.5732	0.50354	0.750732	0.631714
10.0219	1.34277	3.05176	12.207	0.576782	0.704956	0.549316
10.02196	1.28174	3.17383	10.7422	0.549316	0.750732	0.567627
10.02202	1.46484	3.72314	10.8643	0.50354	0.750732	0.640869
10.02208	1.52588	3.479	11.9629	0.521851	0.85144	0.650024
10.02214	1.2207	3.2959	10.9863	0.476074	0.732422	0.668335
10.0222	1.28174	3.479	12.085	0.521851	0.650024	0.512695
10.02226	1.46484	3.11279	11.7188	0.494385	0.723267	0.512695
10.02232	1.58691	3.11279	11.2305	0.430298	0.65918	0.631714
10.02238	1.77002	3.2959	11.8408	0.485229	0.650024	0.604248
10.02244	1.70898	3.84521	13.0615	0.540161	0.567627	0.540161
10.0225	1.89209	4.08936	12.4512	0.531006	0.521851	0.384521
10.02256	1.2207	3.54004	11.2305	0.576782	0.650024	0.521851
10.02262	0.976563	3.11279	12.207	0.549316	0.759888	0.595093
10.02268	0.915527	3.23486	13.4277	0.50354	0.732422	0.650024
10.02274	0.976563	2.92969	11.2305	0.521851	0.714111	0.540161
10.0228	0.854492	2.56348	10.2539	0.540161	0.796509	0.613403
10.02286	1.2207	3.05176	10.2539	0.622559	0.814819	0.622559
10.02292	1.28174	3.2959	11.2305	0.485229	0.750732	0.704956
10.02298	1.28174	3.2959	11.3525	0.457764	0.576782	0.521851
10.02304	0.976563	3.479	11.9629	0.540161	0.704956	0.50354
10.0231	1.40381	3.66211	11.7188	0.512695	0.704956	0.65918
10.02316	1.28174	3.11279	12.3291	0.521851	0.686646	0.549316
10.02322	1.58691	3.23486	11.5967	0.466919	0.558472	0.567627
10.02328	0.976563	3.2959	14.5264	0.421143	0.595093	0.512695
10.02334	1.40381	3.23486	12.3291	0.558472	0.714111	0.531006
10.0234	1.40381	3.72314	10.7422	0.622559	0.650024	0.650024
10.02346	1.28174	3.90625	12.6953	0.430298	0.686646	0.50354
10.02352	1.2207	3.66211	11.4746	0.549316	0.668335	0.540161
10.02358	0.671387	3.2959	10.498	0.604248	0.769043	0.540161
10.02364	0.854492	3.11279	7.56836	0.576782	0.778198	0.466919
10.0237	0.549316	2.44141	10.8643	0.512695	0.814819	0.640869
10.02376	1.0376	2.31934	11.8408	0.430298	0.704956	0.686646
10.02382	1.58691	2.74658	11.3525	0.549316	0.714111	0.558472
10.02388	1.52588	3.11279	10.9863	0.531006	0.741577	0.650024
10.02394	1.58691	3.11279	12.5732	0.512695	0.723267	0.622559
10.024	1.15967	3.54004	12.9395	0.439453	0.67749	0.796509
10.02406	0.854492	3.78418	13.4277	0.411987	0.65918	0.576782
10.02412	1.52588	3.72314	12.3291	0.439453	0.686646	0.466919
10.02418	1.28174	2.92969	11.1084	0.485229	0.686646	0.613403
10.02424	0.915527	2.86865	12.085	0.521851	0.686646	0.585938
10.0243	1.58691	3.05176	13.916	0.531006	0.704956	0.531006
10.02436	1.70898	3.17383	12.8174	0.622559	0.695801	0.366211
10.02442	1.46484	3.2959	13.1836	0.585938	0.668335	0.32959
10.02448	1.34277	3.41797	11.1084	0.631714	0.778198	0.540161
10.02454	0.976563	2.74658	13.5498	0.549316	0.842285	0.613403
10.0246	0.427246	3.2959	11.7188	0.521851	0.732422	0.576782
10.02466	0.549316	2.56348	10.7422	0.567627	0.732422	0.549316
10.02472	0.854492	2.62451	11.5967	0.622559	0.83313	0.595093
10.02478	1.77002	2.31934	11.5967	0.567627	0.897217	0.668335
10.02484	1.28174	2.44141	12.5732	0.485229	0.704956	0.668335
10.0249	1.77002	3.17383	11.4746	0.512695	0.622559	0.476074
10.02496	1.28174	4.21143	12.9395	0.567627	0.787354	0.567627
10.025019	0.976563	3.84521	11.9629	0.567627	0.714111	0.604248
10.025079	0.976563	3.66211	12.5732	0.485229	0.67749	0.531006
10.025139	0.366211	3.479	12.085	0.512695	0.631714	0.604248
10.025199	0.671387	3.17383	14.5264	0.549316	0.622559	0.512695
10.025259	0.732422	2.74658	11.5967	0.576782	0.732422	0.50354
10.025319	0.915527	3.05176	11.4746	0.540161	0.814819	0.567627
10.025379	1.15967	2.80762	13.1836	0.494385	0.714111	0.567627
10.025439	1.28174	3.17383	12.085	0.622559	0.778198	0.512695
10.025499	1.15967	3.72314	10.7422	0.585938	0.759888	0.631714
10.025559	0.854492	3.2959	8.91113	0.650024	0.787354	0.521851
10.025619	0.549316	2.86865	9.8877	0.540161	0.796509	0.67749
10.025679	0.793457	2.86865	11.4746	0.430298	0.695801	0.759888
10.025739	1.2207	2.99072	10.7422	0.494385	0.631714	0.485229
10.025799	1.64795	2.50244	10.0098	0.540161	0.723267	0.540161
10.025859	1.52588	3.60107	11.1084	0.485229	0.723267	0.650024
10.025919	1.64795	3.479	13.0615	0.393677	0.604248	0.869751
10.025979	1.58691	3.66211	12.6953	0.384521	0.613403	0.50354
10.026039	0.732422	3.66211	10.6201	0.485229	0.686646	0.430298
10.026099	0.671387	3.60107	10.6201	0.558472	0.778198	0.585938
10.026159	0.427246	2.86865	10.8643	0.604248	0.723267	0.558472
10.026219	1.2207	2.68555	11.8408	0.540161	0.732422	0.476074
10.026279	1.2207	2.80762	11.9629	0.567627	0.759888	0.421143
10.026339	1.70898	2.86865	11.9629	0.576782	0.65918	0.50354
10.026399	1.40381	3.23486	9.15527	0.631714	0.787354	0.595093
10.026459	1.40381	3.2959	12.6953	0.531006	0.750732	0.622559
10.026519	1.2207	2.86865	12.5732	0.457764	0.750732	0.622559
10.026579	0.732422	2.13623	11.5967	0.576782	0.759888	0.595093
10.026639	0.915527	3.35693	9.64355	0.576782	0.769043	0.604248
10.026699	1.2207	2.62451	10.0098	0.585938	0.796509	0.585938
10.026759	0.854492	2.38037	11.1084	0.421143	0.723267	0.65918
10.026819	1.64795	3.23486	11.7188	0.521851	0.622559	0.476074
10.026879	1.70898	3.72314	12.6953	0.576782	0.622559	0.448608
10.026939	1.52588	3.60107	11.5967	0.576782	0.704956	0.604248
10.026999	1.28174	3.72314	11.1084	0.549316	0.631714	0.604248
10.027059	0.793457	3.35693	11.4746	0.576782	0.622559	0.576782
10.027119	0.610352	2.92969	12.5732	0.466919	0.622559	0.402832
10.027179	0.12207	3.11279	10.7422	0.521851	0.805664	0.604248
10.027239	0.610352	2.38037	10.9863	0.521851	0.83313	0.613403
10.027299	1.28174	2.86865	12.8174	0.521851	0.704956	0.576782
10.027359	1.77002	3.23486	11.1084	0.485229	0.695801	0.613403
10.027419	1.52588	3.17383	10.0098	0.521851	0.65918	0.622559
10.027479	1.2207	3.2959	8.42285	0.622559	0.714111	0.512695
10.027539	1.0376	3.35693	10.9863	0.466919	0.778198	0.640869
10.027599	1.34277	2.86865	11.5967	0.393677	0.631714	0.558472
10.027659	0.915527	2.19727	11.7188	0.549316	0.668335	0.402832
10.027719	0.976563	2.62451	11.5967	0.585938	0.741577	0.531006
10.027779	1.0376	2.86865	12.9395	0.531006	0.686646	0.668335
10.027839	1.15967	2.62451	11.9629	0.521851	0.787354	0.769043
10.027899	1.09863	3.35693	12.4512	0.485229	0.723267	0.631714
10.027959	0.793457	3.35693	12.207	0.576782	0.787354	0.531006
10.028019	1.09863	3.2959	10.6201	0.622559	0.83313	0.650024
10.028079	1.0376	3.479	11.4746	0.512695	0.723267	0.567627
10.028139	1.09863	2.44141	12.207	0.521851	0.732422	0.585938
10.028199	1.40381	2.68555	12.3291	0.558472	0.714111	0.540161
10.028259	1.70898	3.2959	10.6201	0.604248	0.796509	0.439453
10.028319	1.77002	3.54004	10.498	0.567627	0.759888	0.585938
10.028379	1.34277	3.2959	12.207	0.494385	0.67749	0.640869
10.028439	1.77002	3.479	11.9629	0.558472	0.668335	0.485229
10.028499	1.46484	3.66211	10.376	0.604248	0.686646	0.466919
10.028559	0.732422	3.11279	13.3057	0.531006	0.65918	0.576782
10.028619	0.366211	2.92969	14.6484	0.576782	0.860596	0.640869
10.028679	0.732422	2.68555	12.4512	0.494385	0.714111	0.585938
10.028739	1.15967	2.86865	12.6953	0.585938	0.732422	0.393677
10.028799	1.34277	3.41797	12.207	0.640869	0.805664	0.521851
10.028859	1.40381	2.80762	11.2305	0.595093	0.723267	0.732422
10.028919	1.15967	3.41797	11.5967	0.585938	0.732422	0.558472
10.028979	0.671387	3.11279	12.4512	0.531006	0.714111	0.531006
10.029039	0.793457	3.23486	12.085	0.439453	0.65918	0.494385
10.029099	0.854492	2.62451	10.0098	0.567627	0.723267	0.622559
10.029159	1.40381	2.86865	10.376	0.531006	0.732422	0.585938
10.029219	2.13623	3.23486	12.5732	0.476074	0.668335	0.622559
10.029279	1.58691	3.2959	11.4746	0.466919	0.631714	0.521851
10.029339	1.40381	3.78418	10.8643	0.558472	0.750732	0.531006
10.029399	1.28174	3.90625	10.2539	0.640869	0.732422	0.512695
10.029459	1.34277	3.479	10.376	0.485229	0.723267	0.622559
10.029519	0.793457	3.23486	11.5967	0.521851	0.585938	0.50354
10.029579	0.549316	2.80762	12.207	0.640869	0.695801	0.485229
10.029639	0.488281	3.05176	11.9629	0.558472	0.778198	0.604248
10.029699	0.854492	2.56348	12.207	0.476074	0.695801	0.631714
10.029759	0.671387	3.17383	11.3525	0.50354	0.714111	0.787354
10.029819	1.09863	3.35693	13.1836	0.448608	0.723267	0.595093
10.029879	1.40381	3.72314	10.8643	0.576782	0.83313	0.521851
10.029939	0.976563	3.35693	8.78906	0.567627	0.714111	0.640869
10.029999	1.64795	2.68555	10.8643	0.476074	0.65918	0.622559
10.030059	0.732422	3.54004	12.085	0.457764	0.732422	0.585938
10.030119	1.2207	3.35693	10.9863	0.521851	0.750732	0.457764
10.030179	1.28174	3.17383	10.1318	0.485229	0.640869	0.393677
10.030239	0.549316	3.17383	9.8877	0.531006	0.741577	0.494385
10.030299	1.46484	3.72314	12.9395	0.485229	0.686646	0.65918
10.030359	1.77002	3.96729	12.6953	0.521851	0.576782	0.576782
10.030419	1.2207	3.78418	10.7422	0.521851	0.640869	0.50354
10.030479	0.305176	4.21143	11.9629	0.540161	0.778198	0.567627
10.030539	0.610352	3.23486	13.5498	0.540161	0.860596	0.567627
10.030599	0.12207	3.54004	12.4512	0.476074	0.668335	0.604248
10.030659	1.0376	2.80762	12.085	0.540161	0.668335	0.448608
10.030719	0.671387	2.74658	11.4746	0.595093	0.769043	0.595093
10.030779	1.46484	3.23486	11.3525	0.549316	0.704956	0.704956
10.030839	1.15967	4.39453	12.085	0.512695	0.714111	0.585938
10.030899	1.2207	4.15039	11.3525	0.50354	0.650024	0.476074
10.030959	1.34277	3.72314	12.5732	0.485229	0.640869	0.384521
10.031019	1.70898	3.17383	9.8877	0.558472	0.65918	0.585938
10.031079	1.77002	2.68555	11.9629	0.485229	0.704956	0.567627
10.031139	1.52588	3.11279	13.916	0.402832	0.631714	0.494385
10.031199	1.2207	3.23486	12.207	0.540161	0.714111	0.558472
10.031259	1.15967	4.3335	12.8174	0.567627	0.750732	0.576782
10.031319	1.2207	4.3335	11.4746	0.704956	0.750732	0.521851
10.031379	1.15967	3.90625	12.4512	0.531006	0.750732	0.613403
10.031439	0.732422	3.35693	12.5732	0.613403	0.65918	0.494385
10.031499	0.915527	3.17383	13.4277	0.650024	0.805664	0.466919
10.031559	0.366211	3.11279	12.6953	0.521851	0.805664	0.640869
10.031619	1.15967	2.68555	13.1836	0.512695	0.695801	0.67749
10.031679	0.854492	3.35693	12.3291	0.494385	0.732422	0.67749
10.031739	1.83105	4.02832	13.916	0.585938	0.714111	0.50354
10.031799	1.58691	3.84521	12.085	0.576782	0.704956	0.540161
10.031859	1.40381	3.479	11.4746	0.622559	0.769043	0.67749
10.031919	1.2207	4.15039	13.3057	0.549316	0.695801	0.622559
10.031979	1.28174	3.72314	13.6719	0.558472	0.769043	0.531006
10.032039	0.793457	3.23486	11.4746	0.485229	0.750732	0.476074
10.032099	1.64795	2.86865	8.30078	0.604248	0.668335	0.393677
10.032159	1.15967	3.41797	11.9629	0.567627	0.695801	0.595093
10.032219	1.89209	3.72314	14.2822	0.476074	0.640869	0.622559
10.032279	1.83105	3.72314	11.9629	0.585938	0.622559	0.457764
10.032339	1.2207	3.84521	12.9395	0.631714	0.814819	0.549316
10.032399	0.793457	3.78418	13.916	0.558472	0.814819	0.567627
10.032459	1.2207	3.66211	13.5498	0.457764	0.787354	0.805664
10.032519	1.15967	3.41797	12.6953	0.466919	0.631714	0.585938
10.032579	1.15967	2.74658	12.6953	0.540161	0.732422	0.567627
10.032639	1.34277	3.2959	12.6953	0.558472	0.778198	0.668335
10.032699	1.77002	3.2959	12.9395	0.512695	0.695801	0.613403
10.032759	1.52588	3.96729	12.6953	0.531006	0.686646	0.531006
10.032819	1.58691	4.3335	10.9863	0.595093	0.759888	0.430298
10.032879	1.64795	4.5166	13.5498	0.585938	0.668335	0.512695
10.032939	1.34277	3.60107	10.9863	0.622559	0.732422	0.531006
10.032999	1.2207	2.99072	13.6719	0.457764	0.714111	0.613403
10.033059	1.09863	3.17383	12.8174	0.430298	0.640869	0.50354
10.033119	1.34277	3.54004	11.9629	0.567627	0.686646	0.540161
10.033179	1.28174	3.23486	11.9629	0.540161	0.723267	0.531006
10.033239	1.52588	3.41797	13.5498	0.558472	0.814819	0.613403
10.033299	1.52588	3.2959	12.4512	0.531006	0.695801	0.686646
10.033359	1.40381	3.41797	13.0615	0.604248	0.769043	0.448608
10.033419	0.976563	3.35693	11.9629	0.595093	0.769043	0.576782
10.033479	0.305176	3.66211	11.1084	0.485229	0.759888	0.686646
10.033539	0.610352	2.92969	10.6201	0.494385	0.778198	0.585938
10.033599	1.28174	3.05176	11.4746	0.567627	0.640869	0.512695
10.033659	1.46484	3.11279	12.4512	0.476074	0.521851	0.466919
10.033719	1.52588	3.2959	10.2539	0.585938	0.650024	0.604248
10.033779	1.70898	3.78418	11.3525	0.485229	0.723267	0.668335
10.033839	1.64795	3.84521	12.9395	0.466919	0.65918	0.540161
10.033899	0.976563	3.54004	11.4746	0.485229	0.67749	0.476074
10.033959	0.671387	3.479	11.4746	0.540161	0.732422	0.521851
10.034019	0.854492	3.35693	10.0098	0.622559	0.686646	0.521851
10.034079	1.0376	2.92969	11.2305	0.476074	0.668335	0.67749
10.034139	0.976563	2.62451	11.5967	0.494385	0.604248	0.494385
10.034199	1.28174	2.86865	12.3291	0.567627	0.750732	0.457764
10.034259	1.28174	3.35693	11.3525	0.558472	0.759888	0.585938
10.034319	1.34277	3.78418	10.9863	0.540161	0.750732	0.640869
10.034379	1.58691	3.479	10.498	0.485229	0.650024	0.65918
10.034439	0.915527	3.05176	13.1836	0.448608	0.650024	0.604248
10.034499	1.28174	2.56348	11.2305	0.512695	0.695801	0.585938
