DynoWare	Version 3.2.2.0
Path:	C:\Documents and Settings\User\Dokumenty\Dynamometer - Testovanie rezné sily\5 rezne sily od 12_2020 do projektu\Rn5um_nastroj1\
Filename:	t0.dwd
Config ID:	t0.cfg
Setup ID:	0
Manipulated:	0
Filename 1:	 
Filename 2:	 
Date:	Monday, December 07, 2020
Time:	13:31:10
Sampling rate [Hz]:	16667
Measuring time [s]:	20
Delay time [s]:	0
Cycle time [s]:	0
Cycles:	1
Samples per channel:	333321
Cycle interval:	0
Cycle No:	1
Time	Fx	Fy	Fz	Mx	My	Mz
s	N	N	N	Nm	Nm	Nm
16.50651	0.488281	2.38037	12.3291	0.997925	0.622559	0.723267
16.50657	-0.427246	2.99072	12.4512	0.888062	0.83313	0.485229
16.50663	0.732422	1.95313	12.9395	0.997925	0.952148	0.67749
16.50669	-0.366211	3.60107	12.6953	1.06201	0.769043	0.567627
16.50675	0.427246	2.38037	13.6719	0.842285	0.906372	0.595093
16.50681	-0.183105	2.19727	8.78906	1.17188	0.723267	0.622559
16.50687	-0.305176	2.2583	12.9395	0.869751	0.723267	0.723267
16.50693	0.549316	2.50244	14.8926	0.897217	0.952148	0.375366
16.50699	0.915527	1.70898	13.916	1.03455	0.613403	0.732422
16.50705	0.183105	3.2959	14.1602	0.842285	0.769043	0.494385
16.50711	1.09863	1.40381	14.2822	1.08948	0.714111	0.631714
16.50717	-0.427246	3.17383	14.8926	0.888062	0.823975	0.531006
16.50723	1.15967	2.38037	13.5498	0.942993	0.604248	0.787354
16.50729	-0.488281	3.11279	13.4277	0.970459	0.714111	0.3479
16.50735	0.976563	2.13623	14.6484	0.970459	0.814819	0.750732
16.50741	0.244141	3.05176	12.6953	1.00708	0.723267	0.604248
16.50747	0.793457	1.83105	15.3809	0.888062	0.796509	0.430298
16.50753	0.610352	2.74658	10.8643	0.915527	0.585938	0.741577
16.50759	-0.305176	2.38037	14.1602	0.906372	0.85144	0.375366
16.50765	0.854492	1.77002	13.3057	0.961304	0.750732	0.750732
16.50771	-0.244141	3.54004	11.2305	1.01624	0.952148	0.668335
16.50777	0.610352	2.19727	16.4795	0.83313	0.65918	0.668335
16.50783	-0.427246	3.66211	11.2305	0.997925	0.842285	0.549316
16.50789	0.976563	1.83105	13.916	0.970459	0.778198	0.695801
16.50795	0	2.68555	13.0615	0.823975	0.750732	0.384521
16.50801	1.83105	2.62451	12.9395	1.07117	0.723267	0.814819
16.50807	-0.0610352	1.52588	15.9912	0.814819	0.750732	0.65918
16.50813	0.12207	3.78418	12.085	0.970459	0.778198	0.402832
16.50819	0.427246	1.77002	10.376	0.970459	0.723267	0.476074
16.50825	-0.793457	3.11279	11.9629	0.98877	0.695801	0.704956
16.50831	0.732422	2.44141	14.5264	0.878906	0.869751	0.494385
16.50837	0.183105	3.35693	11.5967	1.1261	0.759888	0.723267
16.50843	0.976563	2.2583	15.8691	0.778198	0.823975	0.466919
16.50849	0.549316	2.44141	10.6201	1.02539	0.65918	0.732422
16.50855	0.12207	2.68555	14.5264	0.869751	0.823975	0.411987
16.50861	0.915527	2.74658	12.5732	0.961304	0.604248	0.897217
16.50867	-0.549316	2.92969	12.4512	0.952148	0.67749	0.521851
16.50873	-0.244141	2.2583	13.4277	0.787354	0.869751	0.466919
16.50879	0.671387	1.95313	16.9678	0.787354	0.759888	0.778198
16.50885	-0.12207	3.35693	11.3525	1.15356	0.750732	0.531006
16.50891	-0.488281	2.2583	13.4277	0.769043	0.805664	0.549316
16.50897	1.52588	2.0752	11.5967	0.906372	0.704956	0.65918
16.50903	-0.183105	3.11279	13.6719	1.14441	0.585938	0.686646
16.50909	0.305176	4.3335	10.7422	0.979614	0.814819	0.732422
16.50915	1.40381	3.72314	13.7939	0.83313	0.631714	0.576782
16.50921	0.366211	2.56348	14.8926	0.668335	0.787354	0.604248
16.50927	0.12207	2.38037	10.6201	0.842285	0.952148	0.631714
16.50933	-0.183105	1.77002	12.6953	1.0437	0.732422	0.531006
16.50939	0.366211	1.70898	13.1836	0.933838	0.714111	0.558472
16.50945	0	2.80762	12.8174	0.997925	0.714111	0.494385
16.50951	0.12207	2.50244	16.1133	1.03455	0.567627	0.393677
16.50957	0.12207	4.5166	14.7705	1.05286	0.723267	0.393677
16.50963	0.793457	2.80762	12.8174	0.961304	0.67749	0.741577
16.50969	-0.305176	3.35693	13.4277	0.869751	0.704956	0.585938
16.50975	0.610352	2.80762	12.8174	0.952148	0.933838	0.787354
16.50981	-0.549316	2.68555	12.4512	1.02539	0.814819	0.622559
16.50987	-0.244141	2.2583	13.916	0.961304	0.759888	0.622559
16.50993	0.244141	2.44141	11.8408	1.0437	0.878906	0.531006
16.50999	0.366211	1.77002	17.5781	0.85144	0.750732	0.85144
16.51005	-0.0610352	3.41797	16.4795	0.83313	0.67749	0.494385
16.51011	0.915527	2.92969	12.4512	0.979614	0.759888	0.558472
16.51017	0.183105	3.41797	14.0381	0.842285	0.750732	0.787354
16.51023	0.366211	2.44141	12.9395	1.00708	0.83313	0.512695
16.51029	0.244141	2.99072	12.4512	1.0437	0.787354	0.714111
16.51035	0.488281	2.74658	12.3291	0.888062	0.842285	0.521851
16.51041	0.366211	1.95313	13.916	1.0437	0.732422	0.558472
16.51047	0	2.74658	12.8174	1.0437	0.741577	0.549316
16.51053	0.732422	2.74658	13.6719	0.897217	0.750732	0.631714
16.51059	0.0610352	2.50244	14.1602	0.942993	0.741577	0.485229
16.51065	-0.183105	2.56348	11.9629	0.924683	0.83313	0.741577
16.51071	0.488281	2.50244	15.0146	0.970459	0.769043	0.595093
16.51077	-0.366211	3.17383	12.5732	1.21765	0.869751	0.521851
16.51083	0.366211	2.99072	14.6484	0.924683	0.759888	0.686646
16.51089	-0.12207	3.78418	13.5498	0.970459	0.65918	0.567627
16.51095	0.915527	2.56348	14.0381	0.942993	0.723267	0.402832
16.51101	0.732422	2.01416	12.8174	1.03455	0.796509	0.640869
16.51107	0.305176	2.38037	13.4277	0.897217	0.650024	0.485229
16.51113	0.305176	2.80762	13.916	0.979614	0.723267	0.576782
16.51119	0.488281	3.23486	13.1836	0.897217	0.750732	0.567627
16.51125	1.09863	3.41797	14.5264	0.878906	0.750732	0.769043
16.51131	0.915527	3.60107	10.7422	0.860596	0.897217	0.695801
16.51137	0.427246	1.64795	12.8174	1.08032	0.823975	0.714111
16.51143	0.366211	2.74658	14.5264	0.778198	0.714111	0.549316
16.51149	0.427246	2.0752	12.6953	1.00708	0.796509	0.576782
16.51155	-0.366211	2.44141	13.5498	0.888062	0.750732	0.439453
16.51161	0.305176	3.78418	12.9395	0.924683	0.567627	0.567627
16.51167	0.305176	2.68555	12.6953	0.897217	0.814819	0.759888
16.51173	0.549316	2.86865	12.4512	0.906372	0.769043	0.67749
16.51179	0	3.05176	11.4746	1.02539	0.778198	0.357056
16.51185	-0.12207	2.86865	12.085	1.02539	0.805664	0.210571
16.51191	0	3.60107	12.085	0.842285	0.732422	0.732422
16.51197	0.732422	3.17383	12.207	0.814819	0.842285	0.50354
16.51203	-0.0610352	3.2959	10.9863	0.952148	0.888062	0.558472
16.51209	0.854492	2.68555	11.4746	0.924683	0.83313	0.558472
16.51215	-0.793457	3.23486	10.6201	0.997925	0.85144	0.3479
16.51221	-0.0610352	4.15039	12.085	1.02539	0.585938	0.67749
16.51227	0.854492	2.19727	14.1602	0.686646	0.650024	0.942993
16.51233	-0.488281	2.92969	14.0381	0.83313	0.759888	0.265503
16.51239	0.854492	1.09863	12.085	1.11694	0.622559	0.741577
16.51245	-0.976563	3.2959	13.7939	0.897217	0.723267	0.466919
16.51251	0.671387	2.80762	13.1836	0.842285	0.714111	0.375366
16.51257	1.28174	2.2583	13.916	0.704956	0.897217	0.732422
16.51263	-0.549316	2.86865	10.1318	1.00708	0.704956	0.604248
16.51269	-0.915527	3.60107	12.9395	1.07117	0.814819	0.512695
16.51275	0.244141	2.01416	12.207	0.952148	0.924683	0.384521
16.51281	0.366211	2.50244	12.3291	0.915527	0.512695	0.695801
16.51287	0.183105	2.74658	10.8643	0.952148	0.65918	0.668335
16.51293	0.0610352	2.0752	10.8643	0.970459	0.924683	0.567627
16.51299	0.305176	2.0752	15.7471	0.83313	0.796509	0.494385
16.51305	0.915527	2.86865	11.5967	0.942993	0.750732	0.576782
16.51311	-1.2207	3.17383	12.8174	0.98877	0.695801	0.723267
16.51317	-0.854492	2.86865	13.7939	0.814819	0.823975	0.402832
16.51323	0.305176	1.46484	14.4043	0.860596	0.741577	0.311279
16.51329	-0.183105	2.68555	11.7188	1.07117	0.595093	0.759888
16.51335	-0.183105	3.17383	12.6953	0.942993	0.640869	0.732422
16.51341	0.427246	2.56348	13.0615	0.970459	0.860596	0.421143
16.51347	-0.0610352	1.95313	13.916	1.00708	0.704956	0.704956
16.51353	0	3.11279	10.376	0.952148	0.759888	0.567627
16.51359	-0.671387	1.95313	12.4512	0.942993	0.814819	0.531006
16.51365	-0.244141	3.2959	12.085	0.805664	1.06201	0.759888
16.51371	0.305176	2.50244	11.5967	1.01624	0.622559	0.50354
16.51377	-0.427246	2.2583	12.5732	0.85144	0.67749	0.576782
16.51383	0.732422	3.11279	10.7422	0.970459	0.714111	0.823975
16.51389	1.15967	2.62451	14.0381	0.787354	0.860596	0.567627
16.51395	0.305176	2.44141	12.207	1.16272	0.759888	0.549316
16.51401	0.488281	2.50244	12.5732	1.06201	0.695801	0.668335
16.51407	-0.427246	2.2583	15.2588	0.924683	0.640869	0.32959
16.51413	0.183105	4.02832	14.5264	0.805664	0.778198	0.585938
16.51419	0.244141	2.80762	10.2539	0.98877	0.924683	0.686646
16.51425	0.244141	2.01416	13.5498	0.924683	0.631714	0.686646
16.51431	-0.732422	3.2959	10.9863	0.961304	0.924683	0.640869
16.51437	0.366211	3.17383	13.4277	0.878906	0.631714	0.567627
16.51443	0.610352	2.2583	11.1084	0.787354	0.67749	0.695801
16.51449	0.12207	1.95313	11.2305	0.85144	0.842285	0.512695
16.51455	0.244141	2.38037	14.6484	0.823975	0.631714	0.83313
16.51461	0.0610352	2.68555	14.4043	0.759888	0.695801	0.494385
16.51467	-0.305176	2.62451	11.8408	1.09863	0.778198	0.521851
16.51473	-0.0610352	3.2959	13.7939	0.85144	0.778198	0.695801
16.51479	1.15967	1.83105	10.9863	1.0437	0.686646	0.640869
16.51485	0.0610352	2.31934	12.4512	1.10779	0.85144	0.695801
16.51491	1.09863	2.13623	14.7705	0.805664	0.778198	0.338745
16.51497	0.366211	1.58691	11.4746	0.860596	0.714111	0.604248
16.51503	0	2.86865	7.93457	1.11694	0.787354	0.549316
16.51509	0.610352	2.01416	12.085	0.759888	0.888062	0.723267
16.51515	-1.09863	3.54004	12.085	1.13525	0.704956	0.393677
16.51521	0.671387	2.62451	14.0381	0.814819	0.778198	0.704956
16.51527	0.915527	2.92969	13.0615	0.933838	0.640869	0.769043
16.51533	0.0610352	2.2583	11.5967	0.897217	0.878906	0.430298
16.51539	1.2207	1.77002	12.4512	1.00708	0.622559	0.814819
16.51545	0.305176	1.95313	11.9629	0.85144	0.759888	0.448608
