DynoWare	Version 3.2.2.0
Path:	C:\Documents and Settings\User\Dokumenty\Dynamometer - Testovanie rezné sily\5 rezne sily od 12_2020 do projektu\Rn5um_nastroj2\
Filename:	t0.dwd
Config ID:	t0.cfg
Setup ID:	0
Manipulated:	0
Filename 1:	 
Filename 2:	 
Date:	Wednesday, December 16, 2020
Time:	08:42:47
Sampling rate [Hz]:	16667
Measuring time [s]:	20
Delay time [s]:	0
Cycle time [s]:	0
Cycles:	1
Samples per channel:	333321
Cycle interval:	0
Cycle No:	1
Time	Fx	Fy	Fz	Mx	My	Mz
s	N	N	N	Nm	Nm	Nm
8.201236	1.95313	2.68555	5.12695	0.704956	0.540161	0.466919
8.201296	0.671387	2.74658	3.17383	0.796509	0.604248	0.576782
8.201356	1.58691	2.44141	4.5166	0.723267	0.531006	0.494385
8.201416	2.74658	2.56348	6.83594	0.695801	0.576782	0.549316
8.201476	2.2583	3.05176	2.44141	0.668335	0.439453	0.67749
8.201536	1.2207	4.39453	2.68555	0.622559	0.668335	0.521851
8.201596	1.70898	2.0752	5.24902	0.686646	0.650024	0.338745
8.201656	0.610352	3.41797	3.78418	0.723267	0.521851	0.585938
8.201716	1.83105	2.62451	4.63867	0.576782	0.723267	0.549316
8.201776	2.0752	1.95313	3.41797	0.750732	0.732422	0.640869
8.201836	1.52588	1.95313	6.46973	0.723267	0.439453	0.65918
8.201896	1.34277	2.68555	3.66211	0.759888	0.723267	0.375366
8.201956	0.976563	2.68555	6.83594	0.567627	0.375366	0.421143
8.202016	1.40381	3.41797	1.46484	0.604248	0.650024	0.540161
8.202076	1.89209	3.2959	2.19727	0.732422	0.732422	0.704956
8.202136	1.28174	1.64795	5.24902	0.869751	0.723267	0.485229
8.202196	0.366211	2.80762	7.44629	0.750732	0.549316	0.512695
8.202256	1.46484	3.17383	4.76074	0.686646	0.558472	0.540161
8.202316	1.77002	2.38037	3.78418	0.750732	0.631714	0.668335
8.202376	1.46484	2.2583	2.56348	0.668335	0.714111	0.549316
8.202436	1.2207	2.68555	5.00488	0.796509	0.540161	0.430298
8.202496	1.83105	3.11279	4.76074	0.750732	0.604248	0.540161
8.202556	2.74658	3.23486	3.54004	0.704956	0.640869	0.485229
8.202616	1.15967	2.92969	3.2959	0.723267	0.549316	0.595093
8.202676	1.09863	2.50244	5.49316	0.85144	0.732422	0.439453
8.202736	0.976563	3.41797	5.00488	0.466919	0.50354	0.338745
8.202796	2.2583	2.38037	4.27246	0.814819	0.823975	0.576782
8.202856	0.976563	2.74658	4.88281	0.622559	0.439453	0.402832
8.202916	1.77002	2.19727	4.15039	0.585938	0.558472	0.576782
8.202976	2.68555	2.62451	1.70898	0.595093	0.531006	0.723267
8.203036	0.549316	3.05176	6.34766	0.805664	0.787354	0.521851
8.203096	0.366211	3.11279	5.61523	0.723267	0.540161	0.338745
8.203156	1.28174	3.90625	3.41797	0.83313	0.65918	0.567627
8.203216	1.46484	2.80762	3.54004	0.704956	0.723267	0.50354
8.203276	1.28174	1.95313	1.95313	0.668335	0.613403	0.3479
8.203336	1.28174	1.09863	4.88281	0.704956	0.439453	0.494385
8.203396	0.732422	2.92969	3.2959	0.906372	0.778198	0.622559
8.203456	1.89209	4.08936	5.7373	0.769043	0.494385	0.512695
8.203516	2.68555	3.66211	6.34766	0.750732	0.32959	0.3479
8.203576	1.77002	2.92969	5.61523	0.67749	0.476074	0.421143
8.203636	1.83105	3.05176	3.54004	0.695801	0.540161	0.384521
8.203696	1.2207	3.23486	4.88281	0.796509	0.576782	0.814819
8.203756	1.70898	2.68555	1.58691	0.723267	0.759888	0.357056
8.203816	0.366211	2.50244	5.12695	0.65918	0.402832	0.292969
8.203876	2.19727	1.95313	3.66211	0.796509	0.595093	0.686646
8.203936	0.915527	2.38037	5.61523	0.860596	0.604248	0.384521
8.203996	1.2207	3.35693	4.02832	0.576782	0.549316	0.549316
8.204056	1.95313	3.60107	3.54004	0.814819	0.540161	0.741577
8.204116	1.52588	2.56348	5.61523	0.787354	0.741577	0.668335
8.204176	1.28174	2.31934	5.00488	0.512695	0.686646	0.512695
8.204236	1.34277	2.2583	4.5166	0.823975	0.668335	0.512695
8.204296	0.854492	1.28174	4.39453	0.85144	0.686646	0.494385
