	Experiment			oxley		deform		
Vc	ff	fc	fp	fc	ff	x=ff	y=fc	z=fp
800	89,5	168,6	173,6	197.7	83.3	135,2	334,3	332,9
900	87,4	171,1	171,1	194.6	79.2	132,3	308	307,2
1000	56,6	177,4	169,8	192.0	75.7	133,3	316,4	323,4
1100	92,1	196,3	176,6	189.7	72.7	144,9	343,4	376,6
1200	84,9	193,8	165,2	187.7	70.1	142,2	373,7	368,6
1300	79,5	187,5	158	185.9	67.8	141,7	330,8	338,7
1400	89,5	176,6	157,2	184.3	65.8	138,2	330,2	335,9
1500	87	174,9	154,3	182.9	63.9	140,3	329,4	332,3
1600	78,6	173,2	137,5	181.6	62.3	141,7	338,3	326,4
1700	62,4	173,2	126,5	180.4	60.8	145,5	335,9	333,3
1800	51,7	156,8	106,8	179.3	59.4	145,3	347,2	342,1
